No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
264,KDP,Keurig Dr Pepper Inc.,15.35B,33.42,0.89%,45.34B
265,URI,"United Rentals, Inc.",15.35B,630.53,-1.57%,41.18B
266,ED,"Consolidated Edison, Inc.",15.26B,100.94,2.73%,35.00B
267,APH,Amphenol Corporation,15.22B,61.79,-0.47%,74.83B
268,FOXA,Fox Corporation,15.18B,55.43,-0.56%,25.13B
269,EL,The Est̩e Lauder Companies Inc.,15.18B,70.79,1.30%,25.46B
270,DVN,Devon Energy Corporation,15.17B,34.42,2.75%,22.32B
271,KD,"Kyndryl Holdings, Inc.",15.11B,35.49,-2.79%,8.26B
272,KMI,"Kinder Morgan, Inc.",15.10B,26.42,-1.82%,58.69B
273,GAP,"The Gap, Inc.",15.09B,21.75,11.65%,8.20B
274,JWN,"Nordstrom, Inc.",15.02B,24.40,0.12%,4.03B
275,CASY,"Casey's General Stores, Inc.",14.97B,398.80,-0.81%,14.80B
276,TSCO,Tractor Supply Company,14.88B,54.55,1.37%,29.00B
277,VTRS,Viatris Inc.,14.74B,9.44,1.37%,11.26B
278,EME,"EMCOR Group, Inc.",14.57B,375.01,-1.59%,17.05B
279,CSX,CSX Corporation,14.54B,30.85,0.60%,58.44B
280,D,"Dominion Energy, Inc.",14.46B,53.83,2.72%,45.87B
281,LKQ,LKQ Corporation,14.36B,42.64,0.67%,11.05B
282,CNA,CNA Financial Corporation,14.27B,47.99,0.81%,13.00B
283,OTIS,Otis Worldwide Corporation,14.26B,102.61,0.25%,40.69B
284,SAH,"Sonic Automotive, Inc.",14.22B,67.29,-1.77%,2.27B
285,SPGI,S&P Global Inc.,14.21B,510.13,-4.23%,157.02B
286,REGN,"Regeneron Pharmaceuticals, Inc.",14.20B,695.90,3.89%,74.48B
287,SFD,"Smithfield Foods, Inc.",14.19B,19.83,0.30%,7.80B
288,BWA,BorgWarner Inc.,14.09B,29.05,0.10%,6.35B
289,RS,"Reliance, Inc.",13.84B,282.20,1.01%,14.95B
290,FNF,"Fidelity National Financial, Inc.",13.71B,62.92,-1.07%,17.30B
291,TXT,Textron Inc.,13.70B,72.91,2.93%,13.24B
292,EXPE,"Expedia Group, Inc.",13.69B,182.68,-1.48%,23.54B
293,CVNA,Carvana Co.,13.67B,186.21,-3.75%,40.15B
